"","Territory","Location","TotalPrice","UnitPrice","Area"
"87","海淀","牡丹园",8708.69565217391,114.747800973818,78.0869565217391
"88","西城","木樨地",6969.23076923077,139.136790089853,50.6923076923077
"89","丰台","木樨园",5380,84.4293877537467,67.5
"90","西城","牛街",6600,110.856317084525,60.6363636363636
"91","朝阳","潘家园",6847.82608695652,97.822742053816,72.5652173913043
"92","石景山","苹果园",5640,64.0965039289966,89.6
"93","丰台","七里庄",8524.64285714286,90.0376347127183,84.8928571428571
"94","丰台","青塔",7280.95238095238,75.9274540754738,93.0476190476191
"95","海淀","清河",6760.34482758621,89.5217875089717,76.448275862069
"96","朝阳","三里屯",15655.2631578947,152.99865701657,101.105263157895
"97","朝阳","三元桥",29143.3170731707,159.174699152439,158.853658536585
"98","昌平","沙河",3018.08108108108,51.5161422161431,63.2702702702703
